208,-208,-482,-19,658,772
208,-209,-482,-23,659,777
208,-208,-482,-14,662,775
208,-208,-482,-21,663,779
209,-208,-483,-18,661,785
208,-207,-482,-18,659,780
208,-208,-482,-20,664,774
208,-207,-482,-14,652,778
208,-208,-482,-14,658,782
208,-207,-482,-20,660,784
208,-207,-481,-18,657,779
207,-208,-480,-19,657,780
208,-207,-482,-13,661,773
208,-207,-481,-17,663,776
208,-208,-481,-18,662,778
208,-209,-481,-21,658,780
208,-208,-481,-15,662,773
208,-208,-481,-18,662,774
208,-208,-481,-17,659,774
209,-208,-482,-17,659,777
209,-208,-482,-14,648,759
208,-208,-481,-18,658,769
207,-208,-482,-18,658,778
208,-207,-481,-16,657,783
209,-208,-482,-21,658,779
209,-207,-482,-15,661,784
208,-209,-483,-19,659,778
208,-208,-481,-24,658,775
209,-209,-482,-20,661,774
208,-207,-483,-19,660,782
208,-207,-482,-24,653,773
207,-208,-482,-19,657,777
208,-208,-482,-21,670,783
208,-209,-483,-22,659,795
209,-208,-481,-4,687,785
210,-209,-482,6,639,714
211,-208,-480,-32,679,812
220,-212,-476,-26,659,779
222,-215,-473,-35,660,754
232,-223,-466,-17,675,777
238,-230,-461,-7,673,776
255,-242,-447,-20,664,756
263,-257,-432,-23,666,779
280,-267,-421,-23,655,799
293,-281,-406,-10,659,767
299,-290,-397,-12,657,769
310,-307,-377,-26,659,779
316,-315,-368,-37,627,838
320,-327,-353,-23,667,782
323,-333,-345,-20,657,782
324,-333,-343,-27,652,778
324,-335,-343,-26,658,776
325,-333,-344,-33,708,748
327,-340,-336,-53,661,736
328,-349,-325,-16,672,753
330,-354,-317,-38,646,779
330,-364,-304,-10,661,775
331,-367,-298,-23,658,788
329,-376,-291,-21,653,795
328,-378,-287,-37,640,816
329,-383,-284,-21,643,792
328,-383,-284,-33,652,777
328,-384,-285,-27,655,785
327,-384,-284,-21,653,780
327,-384,-285,-24,653,773
328,-383,-285,-22,658,774
330,-385,-282,-34,667,830
329,-389,-282,-42,662,795
323,-397,-279,-20,658,740
320,-404,-278,-13,658,792
308,-418,-276,-16,666,784
295,-434,-272,-26,645,784
287,-439,-270,-22,645,741
277,-450,-269,-17,653,780
271,-455,-266,-27,649,821
260,-464,-263,-19,645,775
252,-469,-262,-16,652,788
237,-480,-257,-20,646,812
221,-490,-254,-25,643,790
211,-493,-251,-29,649,811
194,-502,-253,-48,636,748
186,-504,-251,-68,638,863
171,-505,-257,-15,629,824
158,-505,-265,-18,629,796
151,-506,-266,-53,572,811
149,-506,-267,-32,599,835
148,-505,-266,-30,604,842
149,-506,-266,-33,607,824
149,-504,-266,-29,605,824
148,-507,-267,-28,599,830
149,-506,-265,-29,602,831
147,-507,-266,-31,594,832
148,-506,-266,-37,603,873
150,-508,-264,-4,598,824
151,-506,-267,15,614,838
129,-511,-260,-29,602,803
127,-514,-261,-24,600,797
123,-518,-252,-37,627,813
119,-526,-241,-37,629,801
113,-531,-228,-47,678,777
113,-535,-215,-72,890,967
110,-539,-212,-39,685,750
110,-538,-212,-35,684,759
109,-538,-213,-33,678,758
109,-538,-211,-33,678,760
109,-538,-212,-30,680,766
109,-536,-212,-27,677,761
110,-539,-212,-31,682,758
109,-537,-212,-34,679,755
110,-537,-212,-42,678,787
109,-537,-211,-31,681,757
110,-538,-212,-29,685,762
109,-539,-214,-61,702,782
110,-539,-211,-28,677,749
109,-539,-213,-34,680,760
109,-537,-212,-30,682,750
110,-538,-213,-28,683,759
109,-536,-212,-19,669,768
104,-539,-213,-31,668,678
93,-540,-212,-35,678,771
86,-541,-212,-33,678,761
66,-542,-210,-27,684,746
54,-542,-209,-33,677,765
31,-542,-209,-27,673,763
10,-540,-210,-30,692,745
-1,-539,-210,-26,685,757
-23,-535,-210,-29,680,764
-34,-533,-211,-33,674,760
-55,-527,-212,-39,679,767
-72,-520,-214,-31,683,756
-80,-518,-217,-38,681,732
-98,-509,-220,-23,686,746
-108,-505,-222,-39,677,735
-124,-495,-226,-38,674,762
-131,-490,-229,-34,668,774
-139,-484,-231,-37,658,761
-140,-485,-232,-32,674,754
-138,-484,-232,-30,679,758
-138,-484,-231,-19,667,703
-140,-485,-232,-25,673,724
-139,-484,-231,-27,681,753
-139,-485,-232,-25,685,771
-140,-485,-230,-27,684,758
-139,-485,-231,-30,681,756
-139,-485,-231,-30,682,755
-140,-485,-231,-27,679,750
-139,-484,-232,-27,681,742
-140,-485,-231,-15,663,726
-150,-477,-238,-20,686,742
-156,-470,-240,-21,692,757
-171,-456,-251,-35,684,753
-178,-448,-256,-17,658,767
-187,-434,-266,-18,698,810
-197,-421,-279,-33,677,783
